region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
IX (Zamboanga Peninsula),Pagadian,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Pagadian,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Pagadian,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Sanga-Sanga,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Sanga-Sanga,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Sanga-Sanga,MosPhil, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Sanga-Sanga,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Sanga-Sanga,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Siocon,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Zamboanga***,PAL,124,116,122,120,124,120,224,230,260,284,298,310,2332
IX (Zamboanga Peninsula),Zamboanga***,Cebu Pacific,130,124,134,128,152,154,158,160,154,162,202,216,1874
IX (Zamboanga Peninsula),Zamboanga***,Air Philippines,62,58,60,60,62,60,14, -   , -   , -   , -   , -   ,376
IX (Zamboanga Peninsula),Zamboanga***,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
IX (Zamboanga Peninsula),Zamboanga***,Seair,166,150,202,192,180,142,126,140,128,138,122,136,1822
IX (Zamboanga Peninsula),Zamboanga***,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Butuan,PAL,86,82,84,94,124,150,140,138,140,152,120,126,1436
XIII (Caraga),Butuan,Cebu Pacific,84,82,84,112,134,86,112,124,128,152,132,144,1374
XIII (Caraga),Butuan,G. Aviation,34,36,38,42,42,22,34,26,32,26,16,18,366
XIII (Caraga),Butuan,Military,26,28,22,16,4,4,2, -   ,4,4, -   ,8,118
X (Northern Mindanao),Cagayan de Oro,PAL,216,196,214,212,220,212,218,222,214,222,226,242,2614
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,268,260,292,278,308,286,310,298,298,324,364,376,3662
X (Northern Mindanao),Cagayan de Oro,Air Philippines,116,90,104,120,70,80, -   , -   ,4,4, -   ,4,592
